zone_id,time_period,mode,jobs_15,jobs_30,jobs_45,cluster_jobs_45,access_index_45
123042,AllDay,transit,0.0,0.0,0.0,0.0,0.0
124011,AllDay,transit,0.0,0.0,0.0,0.0,0.0
124012,AllDay,transit,0.0,0.0,0.0,0.0,0.0
124021,AllDay,transit,0.0,0.0,0.0,0.0,0.0
124022,AllDay,transit,0.0,0.0,0.0,0.0,0.0
124023,AllDay,transit,0.0,0.0,0.0,0.0,0.0
125011,AllDay,transit,0.0,0.0,0.0,0.0,0.0
125012,AllDay,transit,0.0,0.0,0.0,0.0,0.0
125021,AllDay,transit,0.0,0.0,0.0,0.0,0.0
125022,AllDay,transit,0.0,0.0,0.0,0.0,0.0
125023,AllDay,transit,0.0,0.0,0.0,0.0,0.0
126001,AllDay,transit,0.0,0.0,0.0,0.0,0.0
126002,AllDay,transit,0.0,0.0,0.0,0.0,0.0
126003,AllDay,transit,0.0,0.0,0.0,0.0,0.0
126004,AllDay,transit,0.0,0.0,0.0,0.0,0.0
127001,AllDay,transit,0.0,0.0,0.0,0.0,0.0
127002,AllDay,transit,0.0,0.0,0.0,0.0,0.0
127003,AllDay,transit,0.0,0.0,0.0,0.0,0.0
128001,AllDay,transit,0.0,0.0,0.0,0.0,0.0
128002,AllDay,transit,0.0,0.0,0.0,0.0,0.0
128003,AllDay,transit,0.0,0.0,0.0,0.0,0.0
129001,AllDay,transit,0.0,0.0,0.0,0.0,0.0
129002,AllDay,transit,0.0,0.0,0.0,0.0,0.0
129003,AllDay,transit,0.0,0.0,0.0,0.0,0.0
130001,AllDay,transit,0.0,0.0,0.0,0.0,0.0
130002,AllDay,transit,0.0,0.0,0.0,0.0,0.0
130003,AllDay,transit,0.0,0.0,0.0,0.0,0.0
130004,AllDay,transit,0.0,0.0,0.0,0.0,0.0
13011,AllDay,transit,0.0,0.0,0.0,0.0,0.0
13012,AllDay,transit,0.0,0.0,0.0,0.0,0.0
13021,AllDay,transit,0.0,0.0,0.0,0.0,0.0
13022,AllDay,transit,0.0,0.0,0.0,0.0,0.0
13023,AllDay,transit,0.0,0.0,0.0,0.0,0.0
131021,AllDay,transit,0.0,0.0,0.0,0.0,0.0
131022,AllDay,transit,0.0,0.0,0.0,0.0,0.0
131023,AllDay,transit,0.0,0.0,0.0,0.0,0.0
131024,AllDay,transit,0.0,0.0,0.0,0.0,0.0
131031,AllDay,transit,0.0,0.0,0.0,0.0,0.0
131032,AllDay,transit,0.0,0.0,0.0,0.0,0.0
131041,AllDay,transit,0.0,0.0,0.0,0.0,0.0
131042,AllDay,transit,0.0,0.0,0.0,0.0,0.0
131043,AllDay,transit,0.0,0.0,0.0,0.0,0.0
131044,AllDay,transit,0.0,0.0,0.0,0.0,0.0
132031,AllDay,transit,0.0,0.0,0.0,0.0,0.0
132032,AllDay,transit,0.0,0.0,0.0,0.0,0.0
132033,AllDay,transit,0.0,0.0,0.0,0.0,0.0
132034,AllDay,transit,0.0,0.0,0.0,0.0,0.0
132035,AllDay,transit,0.0,0.0,0.0,0.0,0.0
132041,AllDay,transit,0.0,0.0,0.0,0.0,0.0
132042,AllDay,transit,0.0,0.0,0.0,0.0,0.0
132043,AllDay,transit,0.0,0.0,0.0,0.0,0.0
132051,AllDay,transit,0.0,0.0,0.0,0.0,0.0
132061,AllDay,transit,0.0,0.0,0.0,0.0,0.0
132062,AllDay,transit,0.0,0.0,0.0,0.0,0.0
132063,AllDay,transit,0.0,0.0,0.0,0.0,0.0
133011,AllDay,transit,0.0,0.0,0.0,0.0,0.0
133012,AllDay,transit,0.0,0.0,0.0,0.0,0.0
133021,AllDay,transit,0.0,0.0,0.0,0.0,0.0
133022,AllDay,transit,0.0,0.0,0.0,0.0,0.0
133031,AllDay,transit,0.0,0.0,0.0,0.0,0.0
133032,AllDay,transit,0.0,0.0,0.0,0.0,0.0
133033,AllDay,transit,0.0,0.0,0.0,0.0,0.0
133061,AllDay,transit,0.0,0.0,0.0,0.0,0.0
133062,AllDay,transit,0.0,0.0,0.0,0.0,0.0
133071,AllDay,transit,0.0,0.0,0.0,0.0,0.0
133072,AllDay,transit,0.0,0.0,0.0,0.0,0.0
133081,AllDay,transit,0.0,0.0,0.0,0.0,0.0
133082,AllDay,transit,0.0,0.0,0.0,0.0,0.0
133091,AllDay,transit,0.0,0.0,0.0,0.0,0.0
133092,AllDay,transit,0.0,0.0,0.0,0.0,0.0
133093,AllDay,transit,0.0,0.0,0.0,0.0,0.0
133094,AllDay,transit,0.0,0.0,0.0,0.0,0.0
