"tract","yr_id","full_name","jobs"
"101.09","2010","Military","0"
"101.09","2010","Agriculture and Mining","0"
"101.09","2010","Construction","0"
"101.09","2010","Manufacturing","0"
"101.09","2010","Wholesale Trade","0"
"101.09","2010","Retail Trade","0"
"101.09","2010","Transporation, Warehousing, and Utilities","0"
"101.09","2010","Information","0"
"101.09","2010","Finance and Real Estate","0"
"101.09","2010","Professional and Business Services","0"
"101.09","2010","Education and Healthcare","0"
"101.09","2010","Leisure and Hospitality","0"
"101.09","2010","Office Services","0"
"101.09","2010","Government","0"
"101.09","2010","Self-Employed","0"
"101.1","2010","Military","0"
"101.1","2010","Agriculture and Mining","0"
"101.1","2010","Construction","0"
"101.1","2010","Manufacturing","0"
"101.1","2010","Wholesale Trade","0"
"101.1","2010","Retail Trade","0"
"101.1","2010","Transporation, Warehousing, and Utilities","0"
"101.1","2010","Information","0"
"101.1","2010","Finance and Real Estate","0"
"101.1","2010","Professional and Business Services","0"
"101.1","2010","Education and Healthcare","0"
"101.1","2010","Leisure and Hospitality","0"
"101.1","2010","Office Services","0"
"101.1","2010","Government","0"
"101.1","2010","Self-Employed","0"
"101.11","2010","Military","0"
"101.11","2010","Agriculture and Mining","0"
"101.11","2010","Construction","0"
"101.11","2010","Manufacturing","0"
"101.11","2010","Wholesale Trade","0"
"101.11","2010","Retail Trade","0"
"101.11","2010","Transporation, Warehousing, and Utilities","0"
"101.11","2010","Information","0"
"101.11","2010","Finance and Real Estate","0"
"101.11","2010","Professional and Business Services","0"
"101.11","2010","Education and Healthcare","0"
"101.11","2010","Leisure and Hospitality","0"
"101.11","2010","Office Services","0"
"101.11","2010","Government","0"
"101.11","2010","Self-Employed","0"
"101.12","2010","Military","0"
"101.12","2010","Agriculture and Mining","0"
"101.12","2010","Construction","0"
"101.12","2010","Manufacturing","0"
"101.12","2010","Wholesale Trade","0"
"101.12","2010","Retail Trade","0"
"101.12","2010","Transporation, Warehousing, and Utilities","0"
"101.12","2010","Information","0"
"101.12","2010","Finance and Real Estate","0"
"101.12","2010","Professional and Business Services","0"
"101.12","2010","Education and Healthcare","0"
"101.12","2010","Leisure and Hospitality","0"
"101.12","2010","Office Services","0"
"101.12","2010","Government","0"
"101.12","2010","Self-Employed","0"
"102","2010","Military","0"
"102","2010","Agriculture and Mining","0"
"102","2010","Construction","0"
"102","2010","Manufacturing","0"
"102","2010","Wholesale Trade","0"
"102","2010","Retail Trade","0"
"102","2010","Transporation, Warehousing, and Utilities","0"
"102","2010","Information","0"
"102","2010","Finance and Real Estate","0"
"102","2010","Professional and Business Services","0"
"102","2010","Education and Healthcare","0"
"102","2010","Leisure and Hospitality","0"
"102","2010","Office Services","0"
"102","2010","Government","0"
"102","2010","Self-Employed","0"
"103","2010","Military","0"
"103","2010","Agriculture and Mining","0"
"103","2010","Construction","0"
"103","2010","Manufacturing","0"
"103","2010","Wholesale Trade","0"
"103","2010","Retail Trade","0"
"103","2010","Transporation, Warehousing, and Utilities","0"
"103","2010","Information","0"
"103","2010","Finance and Real Estate","0"
"103","2010","Professional and Business Services","0"
"103","2010","Education and Healthcare","0"
"103","2010","Leisure and Hospitality","0"
"103","2010","Office Services","0"
"103","2010","Government","0"
"103","2010","Self-Employed","0"
"104.01","2010","Military","0"
"104.01","2010","Agriculture and Mining","0"
"104.01","2010","Construction","0"
"104.01","2010","Manufacturing","0"
"104.01","2010","Wholesale Trade","0"
"104.01","2010","Retail Trade","0"
"104.01","2010","Transporation, Warehousing, and Utilities","0"
"104.01","2010","Information","0"
"104.01","2010","Finance and Real Estate","0"
"104.01","2010","Professional and Business Services","0"
"104.01","2010","Education and Healthcare","0"
"104.01","2010","Leisure and Hospitality","0"
"104.01","2010","Office Services","0"
"104.01","2010","Government","0"
"104.01","2010","Self-Employed","0"
"104.02","2010","Military","0"
"104.02","2010","Agriculture and Mining","0"
"104.02","2010","Construction","0"
"104.02","2010","Manufacturing","0"
"104.02","2010","Wholesale Trade","0"
"104.02","2010","Retail Trade","0"
"104.02","2010","Transporation, Warehousing, and Utilities","0"
"104.02","2010","Information","0"
"104.02","2010","Finance and Real Estate","0"
"104.02","2010","Professional and Business Services","0"
"104.02","2010","Education and Healthcare","0"
"104.02","2010","Leisure and Hospitality","0"
"104.02","2010","Office Services","0"
"104.02","2010","Government","0"
"104.02","2010","Self-Employed","0"
"105.01","2010","Military","0"
"105.01","2010","Agriculture and Mining","0"
"105.01","2010","Construction","0"
"105.01","2010","Manufacturing","0"
"105.01","2010","Wholesale Trade","0"
"105.01","2010","Retail Trade","0"
"105.01","2010","Transporation, Warehousing, and Utilities","0"
"105.01","2010","Information","0"
"105.01","2010","Finance and Real Estate","0"
"105.01","2010","Professional and Business Services","0"
"105.01","2010","Education and Healthcare","0"
"105.01","2010","Leisure and Hospitality","0"
